State FIPS Code,Name,State Abbreviation,Year,Annual Federal Minimum,Annual State Minimum,Annual Federal Average,Annual State Average,Annual Federal Maximum,Annual State Maximum
2,Alaska,AK,1974,2,2.5,2,2.5,2,2.5
2,Alaska,AK,1975,2.1,2.599999905,2.1,2.599999905,2.1,2.599999905
2,Alaska,AK,1976,2.3,2.799999952,2.3,2.799999952,2.3,2.799999952
2,Alaska,AK,1977,2.3,2.799999952,2.3,2.799999952,2.3,2.799999952
2,Alaska,AK,1978,2.65,2.799999952,2.65,3.093424797,2.65,3.150000095
2,Alaska,AK,1979,2.9,3.400000095,2.9,3.400000095,2.9,3.400000095
2,Alaska,AK,1980,3.1,3.599999905,3.1,3.599999905,3.1,3.599999905
2,Alaska,AK,1981,3.35,3.849999905,3.35,3.849999905,3.35,3.849999905
2,Alaska,AK,1982,3.35,3.849999905,3.35,3.849999905,3.35,3.849999905
2,Alaska,AK,1983,3.35,3.849999905,3.35,3.849999905,3.35,3.849999905
2,Alaska,AK,1984,3.35,3.849999905,3.35,3.849999905,3.35,3.849999905
2,Alaska,AK,1985,3.35,3.849999905,3.35,3.849999905,3.35,3.849999905
2,Alaska,AK,1986,3.35,3.849999905,3.35,3.849999905,3.35,3.849999905
2,Alaska,AK,1987,3.35,3.849999905,3.35,3.849999905,3.35,3.849999905
2,Alaska,AK,1988,3.35,3.849999905,3.35,3.849999905,3.35,3.849999905
2,Alaska,AK,1989,3.35,3.849999905,3.35,3.849999905,3.35,3.849999905
2,Alaska,AK,1990,3.35,3.849999905,3.689041096,4.189041138,3.8,4.300000191
2,Alaska,AK,1991,3.8,4.300000191,4.139041096,4.639040947,4.25,4.75
2,Alaska,AK,1992,4.25,4.75,4.25,4.75,4.25,4.75
2,Alaska,AK,1993,4.25,4.75,4.25,4.75,4.25,4.75
2,Alaska,AK,1994,4.25,4.75,4.25,4.75,4.25,4.75
2,Alaska,AK,1995,4.25,4.75,4.25,4.75,4.25,4.75
2,Alaska,AK,1996,4.25,4.75,4.37568306,4.875682831,4.75,5.25
2,Alaska,AK,1997,4.75,5.25,4.88369863,5.383698463,5.15,5.650000095
2,Alaska,AK,1998,5.15,5.650000095,5.15,5.650000095,5.15,5.650000095
2,Alaska,AK,1999,5.15,5.650000095,5.15,5.650000095,5.15,5.650000095
2,Alaska,AK,2000,5.15,5.650000095,5.15,5.650000095,5.15,5.650000095
2,Alaska,AK,2001,5.15,5.650000095,5.15,5.650000095,5.15,5.650000095
2,Alaska,AK,2002,5.15,5.650000095,5.15,5.650000095,5.15,5.650000095
2,Alaska,AK,2003,5.15,7.150000095,5.15,7.150000095,5.15,7.150000095
2,Alaska,AK,2004,5.15,7.150000095,5.15,7.150000095,5.15,7.150000095
2,Alaska,AK,2005,5.15,7.150000095,5.15,7.150000095,5.15,7.150000095
2,Alaska,AK,2006,5.15,7.150000095,5.15,7.150000095,5.15,7.150000095
2,Alaska,AK,2007,5.15,7.150000095,5.458767123,7.150000095,5.85,7.150000095
2,Alaska,AK,2008,5.85,7.150000095,6.157923497,7.150000095,6.55,7.150000095
2,Alaska,AK,2009,6.55,7.150000095,6.858767123,7.19410944,7.25,7.25
2,Alaska,AK,2010,7.25,7.75,7.25,7.75,7.25,7.75
2,Alaska,AK,2011,7.25,7.75,7.25,7.75,7.25,7.75
2,Alaska,AK,2012,7.25,7.75,7.25,7.75,7.25,7.75
2,Alaska,AK,2013,7.25,7.75,7.25,7.75,7.25,7.75
2,Alaska,AK,2014,7.25,7.75,7.25,7.75,7.25,7.75
2,Alaska,AK,2015,7.25,8.75,7.25,8.75,7.25,8.75
2,Alaska,AK,2016,7.25,9.75,7.25,9.75,7.25,9.75
1,Alabama,AL,1974,2,2,2,2,2,2
1,Alabama,AL,1975,2.1,2.099999905,2.1,2.099999905,2.1,2.099999905
1,Alabama,AL,1976,2.3,2.299999952,2.3,2.299999952,2.3,2.299999952
1,Alabama,AL,1977,2.3,2.299999952,2.3,2.299999952,2.3,2.299999952
1,Alabama,AL,1978,2.65,2.650000095,2.65,2.650000095,2.65,2.650000095
1,Alabama,AL,1979,2.9,2.900000095,2.9,2.900000095,2.9,2.900000095
1,Alabama,AL,1980,3.1,3.099999905,3.1,3.099999905,3.1,3.099999905
1,Alabama,AL,1981,3.35,3.349999905,3.35,3.349999905,3.35,3.349999905
1,Alabama,AL,1982,3.35,3.349999905,3.35,3.349999905,3.35,3.349999905
1,Alabama,AL,1983,3.35,3.349999905,3.35,3.349999905,3.35,3.349999905
1,Alabama,AL,1984,3.35,3.349999905,3.35,3.349999905,3.35,3.349999905
1,Alabama,AL,1985,3.35,3.349999905,3.35,3.349999905,3.35,3.349999905
1,Alabama,AL,1986,3.35,3.349999905,3.35,3.349999905,3.35,3.349999905
1,Alabama,AL,1987,3.35,3.349999905,3.35,3.349999905,3.35,3.349999905
1,Alabama,AL,1988,3.35,3.349999905,3.35,3.349999905,3.35,3.349999905
